#cnt bytes time_avg time_min bandwidth
1 8 4.8095e-06 4.39882e-06 1.81867e+06
6 48 4.83632e-06 4.35114e-06 1.10316e+07
11 88 4.82941e-06 4.74453e-06 1.85477e+07
16 128 5.12493e-06 4.8399e-06 2.64468e+07
21 168 6.28042e-06 5.85318e-06 2.87024e+07
26 208 5.29695e-06 4.8399e-06 4.29761e+07
31 248 6.2716e-06 6.00815e-06 4.12773e+07
36 288 5.49889e-06 4.94719e-06 5.82149e+07
41 328 6.27923e-06 5.99623e-06 5.47011e+07
46 368 5.71001e-06 5.14984e-06 7.14585e+07
51 408 6.26004e-06 5.99623e-06 6.80428e+07
56 448 5.74553e-06 5.19753e-06 8.61949e+07
61 488 6.29902e-06 6.13928e-06 7.94882e+07
66 528 5.69391e-06 5.44786e-06 9.69187e+07
71 568 6.33061e-06 6.10352e-06 9.30611e+07
76 608 5.95295e-06 5.65052e-06 1.07601e+08
81 648 5.90897e-06 5.79357e-06 1.11848e+08
86 688 5.94938e-06 5.84126e-06 1.17783e+08
91 728 5.99897e-06 5.84126e-06 1.24631e+08
96 768 6.03867e-06 5.94854e-06 1.29107e+08
101 808 6.58607e-06 6.04391e-06 1.33688e+08
106 848 6.47914e-06 6.09159e-06 1.39208e+08
111 888 6.77049e-06 6.44922e-06 1.37691e+08
116 928 6.67083e-06 6.34193e-06 1.46328e+08
121 968 7.02763e-06 6.30617e-06 1.535e+08
126 1008 6.64341e-06 6.40154e-06 1.57462e+08
131 1048 6.65903e-06 6.49691e-06 1.61308e+08
136 1088 6.77693e-06 6.63996e-06 1.63856e+08
141 1128 7.09045e-06 6.63996e-06 1.69881e+08
146 1168 7.06649e-06 6.74725e-06 1.73108e+08
151 1208 7.36439e-06 6.90222e-06 1.75016e+08
156 1248 7.14362e-06 6.9499e-06 1.79571e+08
161 1288 7.28095e-06 6.99759e-06 1.84063e+08
166 1328 7.29907e-06 6.99759e-06 1.8978e+08
171 1368 7.59137e-06 7.24792e-06 1.88744e+08
176 1408 7.48265e-06 7.30753e-06 1.92678e+08
181 1448 7.65705e-06 7.29561e-06 1.98476e+08
186 1488 7.58052e-06 7.4029e-06 2.01002e+08
191 1528 7.72786e-06 7.45058e-06 2.05085e+08
196 1568 7.72107e-06 7.54595e-06 2.07794e+08
201 1608 7.71952e-06 7.49826e-06 2.1445e+08
206 1648 7.79259e-06 7.65324e-06 2.15334e+08
211 1688 7.88605e-06 7.689e-06 2.19534e+08
216 1728 7.94268e-06 7.79629e-06 2.21644e+08
221 1768 7.94542e-06 7.79629e-06 2.26775e+08
226 1808 8.06844e-06 7.84397e-06 2.30495e+08
231 1848 8.09968e-06 7.95126e-06 2.32416e+08
236 1888 8.12697e-06 7.95126e-06 2.37447e+08
241 1928 8.20279e-06 7.99894e-06 2.41032e+08
246 1968 8.33607e-06 8.09431e-06 2.43134e+08
251 2008 8.30603e-06 8.14199e-06 2.46623e+08
256 2048 8.51953e-06 8.34465e-06 2.45427e+08
261 2088 8.57162e-06 8.40425e-06 2.48446e+08
266 2128 8.59761e-06 8.40425e-06 2.53205e+08
271 2168 8.63147e-06 8.45194e-06 2.56509e+08
276 2208 8.65376e-06 8.45194e-06 2.61242e+08
281 2248 8.78572e-06 8.44002e-06 2.6635e+08
286 2288 8.71241e-06 8.45194e-06 2.70707e+08
291 2328 8.77571e-06 8.54731e-06 2.72367e+08
296 2368 8.79467e-06 8.45194e-06 2.80172e+08
301 2408 8.82471e-06 8.59499e-06 2.80163e+08
306 2448 8.79645e-06 8.59499e-06 2.84817e+08
311 2488 8.90946e-06 8.69036e-06 2.86294e+08
316 2528 8.85367e-06 8.65459e-06 2.92099e+08
321 2568 8.84831e-06 8.59499e-06 2.98779e+08
326 2608 8.9494e-06 8.74996e-06 2.98058e+08
331 2648 8.95536e-06 8.74996e-06 3.0263e+08
336 2688 8.96049e-06 8.79765e-06 3.05536e+08
341 2728 9.058e-06 8.84533e-06 3.08411e+08
346 2768 9.85205e-06 8.84533e-06 3.12934e+08
351 2808 9.12821e-06 8.90493e-06 3.15331e+08
356 2848 9.14609e-06 8.9407e-06 3.18543e+08
361 2888 9.19461e-06 9.04799e-06 3.19187e+08
366 2928 9.26781e-06 9.09567e-06 3.21911e+08
371 2968 9.31048e-06 9.14335e-06 3.24607e+08
376 3008 9.33039e-06 9.09567e-06 3.30707e+08
381 3048 9.34315e-06 9.15527e-06 3.32923e+08
386 3088 9.359e-06 9.23872e-06 3.34245e+08
391 3128 9.35853e-06 9.19104e-06 3.40332e+08
396 3168 9.40394e-06 9.25064e-06 3.42463e+08
401 3208 9.42051e-06 9.19104e-06 3.49036e+08
406 3248 9.44853e-06 9.29832e-06 3.4931e+08
411 3288 9.44877e-06 9.29832e-06 3.53612e+08
416 3328 9.49264e-06 9.29832e-06 3.57914e+08
421 3368 9.58788e-06 9.39369e-06 3.58538e+08
426 3408 9.5849e-06 9.40561e-06 3.62337e+08
431 3448 9.67085e-06 9.48906e-06 3.63366e+08
436 3488 9.7065e-06 9.50098e-06 3.6712e+08
441 3528 9.72509e-06 9.54866e-06 3.69476e+08
446 3568 9.78673e-06 9.59635e-06 3.71808e+08
451 3608 9.81247e-06 9.65595e-06 3.73656e+08
456 3648 9.87113e-06 9.75132e-06 3.74103e+08
461 3688 9.8691e-06 9.69172e-06 3.80531e+08
466 3728 9.94658e-06 9.799e-06 3.80447e+08
471 3768 9.97603e-06 9.84669e-06 3.82667e+08
